"","Name","PPG","GP","Mins","FGA","FGM","FG%","3PA","3PM","3P%","FTA","FTM","FT%","PPM","PF3PG","PerPF3"
"285","Keaton Wallace",14.6,30,32.3,11.9,5.6,0.466,4.9,2,0.411,1.1,0.9,0.765,0.452012383900929,6,41.0958904109589
"286","Armoni Brooks",14.5,28,26.8,11.6,5.1,0.444,7.7,3,0.384,1.1,0.9,0.8,0.541044776119403,9,62.0689655172414
"287","Trevor Keels",14.5,24,31.4,12.8,5.5,0.425,5.8,2,0.355,1.3,0.9,0.71,0.461783439490446,6,41.3793103448276
"288","Nate Williams, Jr.",14.4,32,29.8,10.2,5.3,0.523,4.1,1.7,0.42,1.4,1.2,0.848,0.483221476510067,5.1,35.4166666666667
"289","James Akinjo",14.4,20,29.3,12.7,5.6,0.439,5,1.7,0.34,1.3,1,0.769,0.491467576791809,5.1,35.4166666666667
"290","Chaundee Brown, Jr.",14.4,20,30,12.3,5.5,0.447,4.2,1.2,0.286,1.6,1.3,0.839,0.48,3.6,25
"291","Javante McCoy",14.2,26,25.9,11.2,5.9,0.524,3.1,1.2,0.37,1.2,0.9,0.767,0.548262548262548,3.6,25.3521126760563
"292","Bryce Hamilton",14.1,29,28.2,11.3,5.8,0.514,3.8,1.4,0.385,1,0.7,0.679,0.5,4.2,29.7872340425532
"293","Chasson Randle",14.1,29,29.2,11.1,5,0.452,5.7,2.3,0.398,1.4,1,0.732,0.482876712328767,6.9,48.936170212766
"294","Scotty Hopson",14.1,12,26,10.5,5.4,0.516,0.8,0.3,0.4,2.3,1.8,0.75,0.542307692307692,0.9,6.38297872340426
"295","Skylar Mays",14.1,29,27.6,11.7,5,0.431,4.7,1.3,0.285,1.8,1.6,0.882,0.510869565217391,3.9,27.6595744680851
"296","Kaiser Gates",14,24,23.2,9.2,4.9,0.532,5,2.8,0.554,1.1,0.8,0.704,0.603448275862069,8.4,60
"297","Taze Moore",13.9,24,33.5,11.3,5.5,0.493,4.4,1.6,0.368,1.2,0.8,0.679,0.414925373134328,4.8,34.5323741007194
"298","Kenneth Faried",13.9,29,28.8,10,5.6,0.557,0.6,0.2,0.278,2.7,1.5,0.564,0.482638888888889,0.6,4.31654676258993
"299","Alfonzo McKinnie",13.8,25,28.3,12.4,5,0.405,4.6,1.2,0.263,1.9,1.4,0.766,0.487632508833922,3.6,26.0869565217391
"300","Denzel Valentine",13.7,20,33.1,11.8,4.9,0.417,8,3.1,0.388,0.6,0.5,0.833,0.413897280966767,9.3,67.8832116788321
